Id,Tag
3693,Melhoria
3693,Preço
3694,Preço
3694,Tulio
3695,Produção
3707,Dúvida
3736,B.I
3744,B.I
3745,B.I
3797,Melhoria
3797,Performance
3827,Boxter
3828,Boxter
3909,Melhoria
3915,Melhoria
3944,B.I
3951,B.I
4021,B.I
4159,B.I
4273,B.I
4285,Custo
4286,Emissão de NFe
4287,NFe/NFCe
4289,Cadastros
4291,NFe/NFCe
4291,Script
4292,NFe/NFCe
4293,NFe/NFCe
4303,Melhoria
4303,Performance
4303,Tuning
4388,B.I
4410,Compliance
4424,B.I
4553,MetaImportador
4554,Cadastros
4554,Emissão de NFe
4567,Melhoria
4621,Reforma Tributária
4625,Reforma Tributária
4640,Reforma Tributária
4646,Cacique
4671,Melhoria
4682,Composto
4682,Melhoria
4682,Usabilidade
4783,Melhoria
4789,Reforma Tributária
4827,Nota Técnica
4874,Reforma Tributária
4939,Contingência
4942,Teste Geral
4943,CT-e
4943,Teste Geral
4944,Relatórios
5069,B.I
5104,Reforma Tributária
5141,Reforma Tributária
5191,Retenção Imposto
5193,Reforma Tributária
5227,Nota Técnica
5233,Contingência
5233,NFe/NFCe
5291,NFe/NFCe
5334,Cadastros
5334,Melhoria
5389,CT-e
5421,B.I
5567,Melhoria
5568,Imposto
5568,Retenção Imposto
5579,Fiscal
5579,Teste Automatizado
5585,Fiscal
5585,Teste Automatizado
5588,Fiscal
5588,Teste Automatizado
5594,Fiscal
5594,Teste Automatizado
5595,Fiscal
5595,Teste Automatizado
5596,Fiscal
5596,Teste Automatizado
5736,Reforma Tributária
5832,Preço
6047,Nota Técnica
6047,Sped
6143,NeverStop
6393,Cadastros
6497,Reforma Tributária
6498,Reforma Tributária
6500,Reforma Tributária
6502,Reforma Tributária
6503,Reforma Tributária
6504,Reforma Tributária
6506,Reforma Tributária
6507,Reforma Tributária
6508,Reforma Tributária
6509,Reforma Tributária
6510,Reforma Tributária
6608,NFSe Nacional
6608,Reforma Tributária
6716,CT-e
6748,EstoqueOffline
6748,Melhoria
6845,TicketLog
6846,Cadastros
6848,Cacique
6848,Script
6861,NFSe Nacional
6933,NFSe Nacional
6934,NFSe Nacional
6938,NFSe
7302,Reforma Tributária
7303,Reforma Tributária
7311,Reforma Tributária
7314,Contingência
7314,Emissão de NFe
7314,Problemas Crônicos
7347,MetaServerGlobal
7390,Melhoria
7502,Contingência
7504,Emissão de NFe
7504,Problemas Crônicos
7555,Melhoria
7564,Reforma Tributária
7623,NFSe
7636,Melhoria
7637,Melhoria
7671,Compliance
7785,Nota Técnica
7785,Reforma Tributária
7859,Arquitetura
7863,Reforma Tributária
7921,B.I
7967,Fiscal
7967,Teste Automatizado
7968,Fiscal
7968,Teste Automatizado
7969,Fiscal
7969,Teste Automatizado
7970,Fiscal
7970,Teste Automatizado
7971,Fiscal
7971,Teste Automatizado
7972,Fiscal
7972,Teste Automatizado
7973,Fiscal
7973,Teste Automatizado
7974,Fiscal
7974,Teste Automatizado
7975,Fiscal
7975,Teste Automatizado
8059,AlertasDFe
8059,NeverStop
8165,Melhoria
8178,Reforma Tributária
8180,Reforma Tributária
8192,Reforma Tributária
8193,Reforma Tributária
8243,Melhoria
8244,Reforma Tributária
8252,Melhoria
8253,Reforma Tributária
8283,Melhoria
8284,Melhoria
8285,Melhoria
8286,Melhoria
8287,Melhoria
8288,Melhoria
8289,Melhoria
8290,Melhoria
8291,Melhoria
8292,Melhoria
8293,Melhoria
8294,Melhoria
8295,Melhoria
8296,Melhoria
8297,Melhoria
8298,Melhoria
8299,Melhoria
8300,Melhoria
8301,Melhoria
8302,Melhoria
8303,Melhoria
8304,Melhoria
8305,Melhoria
8306,Melhoria
8307,Melhoria
8308,Melhoria
8309,Melhoria
8310,Melhoria
8453,Reforma Tributária
8474,Melhoria
8474,Performance
8492,Nota Técnica
8493,Cache
8588,B.I
8618,Reforma Tributária
8648,Melhoria
8648,Performance
8805,Reforma Tributária
8806,Reforma Tributária
8938,Melhoria
9009,Pipeline
9010,Pipeline
9011,Pipeline
9012,Pipeline
9013,Pipeline
9589,Melhoria
9785,Reforma Tributária
9943,Nota Débito
9943,Reforma Tributária
10242,Atualizador automático
10274,Melhoria
10274,Preço
10458,B.I
10505,NFSe Nacional
10522,NFSe Nacional
10588,Fiscal
10588,Teste Automatizado
10589,Fiscal
10589,Teste Automatizado
10590,Fiscal
10590,Teste Automatizado
10602,Reforma Tributária
10612,Reforma Tributária
10657,B.I
10816,Melhoria
11318,Teste Automatizado
11321,Teste Automatizado
11324,Teste Automatizado
11325,Teste Automatizado
11326,Teste Automatizado
11327,Teste Automatizado
11328,Teste Automatizado
11329,Teste Automatizado
11335,Teste Automatizado
11336,Teste Automatizado
11387,Teste Automatizado
11516,Compliance
11793,Débito Técnico
12024,NFSe Nacional
12228,Nota Débito
12228,Reforma Tributária
12321,Débito Técnico
12321,Melhoria
12333,Nota Débito
12333,Reforma Tributária
12682,Reforma Tributária
13077,Atualizador automático
13078,Atualizador automático
13122,Contingência
13232,Cacique
13232,Melhoria
13327,Atualizador automático
13686,Arquitetura
13686,MetaServerGlobal
13859,Integracao Organiza
13860,Integracao Organiza
13861,Integracao Organiza
13862,Integracao Organiza
13863,Integracao Organiza
13864,Integracao Organiza
13925,Contingência
13985,Atualizador automático
14000,B.I
14192,Integracao Organiza
14235,Atualizador automático
14236,Atualizador automático
14293,BRMania
14293,Companhia
14354,Cacique
14354,Prioridade - Suporte
14360,Arquitetura
14360,Atualizador automático
14421,Arquitetura
14421,Contingência
14421,Melhoria
14421,NeverStop
14424,Atualizador automático
14424,Melhoria
14461,CT-e
14461,Melhoria
14463,Auditoria
14463,Melhoria
14475,MetaServerGlobal
14476,MetaServerGlobal
14482,MetaServerGlobal
14573,Atualizador automático
14613,Melhoria
14614,Melhoria
14626,Nota Técnica
14826,Atualizador automático
14828,Atualizador automático
14829,Atualizador automático
14884,Atualizador automático
14885,Atualizador automático
14886,Atualizador automático
14888,Atualizador automático
14889,Atualizador automático
14891,Atualizador automático
14897,Atualizador automático
14898,Atualizador automático
14899,Atualizador automático
14900,Atualizador automático
14901,Atualizador automático
14902,Atualizador automático
14903,Atualizador automático
14998,Melhoria
15137,Versionamento Sistema
15139,Versionamento Sistema
15140,Versionamento Sistema
15278,Arquitetura
15278,Versionamento Sistema
15279,Arquitetura
15279,Versionamento Sistema
15281,Arquitetura
15281,Versionamento Sistema
15285,Arquitetura
15285,Versionamento Sistema
15286,Arquitetura
15286,Versionamento Sistema
15287,Arquitetura
15287,Versionamento Sistema
15288,Arquitetura
15288,Versionamento Sistema
15290,Arquitetura
15290,Versionamento Sistema
15291,Arquitetura
15291,Versionamento Sistema
15292,Arquitetura
15292,Versionamento Sistema
15480,Prioridade Fiscal
15480,Reforma Tributária
15570,Observabilidade
15571,Observabilidade
15572,Observabilidade
15573,Observabilidade
15574,Observabilidade
15575,Observabilidade
15576,Observabilidade
15856,Reforma Tributária
16071,Nota Técnica
16224,Débito Técnico
16225,Débito Técnico
16227,Débito Técnico
16228,Débito Técnico
16290,Reforma Tributária
16552,Débito Técnico
16554,Débito Técnico
16555,Débito Técnico
16556,Débito Técnico
16556,Observabilidade
16576,Débito Técnico
16759,Melhoria
17046,Teste Automatizado
